,id.x,name,pbw_cs,pbw_choice,pbw_choicenumeric,sweight,seq,task,sample,ocean_days,seafood_eat,demoone_gender,demoone_education,demotwo_livedCanada,envr_org,envr_protest,demothree_income,demothree_householdsize,demothree_age,rural,distance_FSA,distance_FSAc,rec,jobsnum,jobs2,demoone_education2,demothree_age_num,political_party2
1,99910611,English10611,10,CoastalLivelihoods,6,1,1,1,BC,2.5,52,female,somepost,morethan20,no,no,9,5,65plus,urban,3157.238243,<100km,1,1,none,uni,69.5,CPC
2,99910611,English10611,10,Biodiversity,10,-1,2,1,BC,2.5,52,female,somepost,morethan20,no,no,9,5,65plus,urban,3157.238243,<100km,1,1,none,uni,69.5,CPC
3,99910611,English10611,6,CoastalLivelihoods,6,1,1,2,BC,2.5,52,female,somepost,morethan20,no,no,9,5,65plus,urban,3157.238243,<100km,1,1,none,uni,69.5,CPC
4,99910611,English10611,6,AboriginalNeeds,2,-1,2,2,BC,2.5,52,female,somepost,morethan20,no,no,9,5,65plus,urban,3157.238243,<100km,1,1,none,uni,69.5,CPC
5,99910611,English10611,3,IconicPlacesandSpecies,8,1,1,3,BC,2.5,52,female,somepost,morethan20,no,no,9,5,65plus,urban,3157.238243,<100km,1,1,none,uni,69.5,CPC
6,99910611,English10611,3,Biodiversity,10,-1,2,3,BC,2.5,52,female,somepost,morethan20,no,no,9,5,65plus,urban,3157.238243,<100km,1,1,none,uni,69.5,CPC
7,99910611,English10611,2,Foodprovision,1,1,1,4,BC,2.5,52,female,somepost,morethan20,no,no,9,5,65plus,urban,3157.238243,<100km,1,1,none,uni,69.5,CPC
8,99910611,English10611,2,AboriginalNeeds,2,-1,2,4,BC,2.5,52,female,somepost,morethan20,no,no,9,5,65plus,urban,3157.238243,<100km,1,1,none,uni,69.5,CPC
9,99910611,English10611,4,CoastalLivelihoods,6,1,1,5,BC,2.5,52,female,somepost,morethan20,no,no,9,5,65plus,urban,3157.238243,<100km,1,1,none,uni,69.5,CPC
10,99910611,English10611,4,AboriginalNeeds,2,-1,2,5,BC,2.5,52,female,somepost,morethan20,no,no,9,5,65plus,urban,3157.238243,<100km,1,1,none,uni,69.5,CPC
11,99910611,English10611,5,CoastalLivelihoods,6,1,1,6,BC,2.5,52,female,somepost,morethan20,no,no,9,5,65plus,urban,3157.238243,<100km,1,1,none,uni,69.5,CPC
12,99910611,English10611,5,AboriginalNeeds,2,-1,2,6,BC,2.5,52,female,somepost,morethan20,no,no,9,5,65plus,urban,3157.238243,<100km,1,1,none,uni,69.5,CPC
13,99910611,English10611,1,TourismandRecreation,7,1,1,7,BC,2.5,52,female,somepost,morethan20,no,no,9,5,65plus,urban,3157.238243,<100km,1,1,none,uni,69.5,CPC
14,99910611,English10611,1,Biodiversity,10,-1,2,7,BC,2.5,52,female,somepost,morethan20,no,no,9,5,65plus,urban,3157.238243,<100km,1,1,none,uni,69.5,CPC
15,99910611,English10611,9,TourismandRecreation,7,1,1,8,BC,2.5,52,female,somepost,morethan20,no,no,9,5,65plus,urban,3157.238243,<100km,1,1,none,uni,69.5,CPC
16,99910611,English10611,9,AboriginalNeeds,2,-1,2,8,BC,2.5,52,female,somepost,morethan20,no,no,9,5,65plus,urban,3157.238243,<100km,1,1,none,uni,69.5,CPC
17,99910611,English10611,8,CoastalLivelihoods,6,1,1,9,BC,2.5,52,female,somepost,morethan20,no,no,9,5,65plus,urban,3157.238243,<100km,1,1,none,uni,69.5,CPC
18,99910611,English10611,8,NonFoodProducts,3,-1,2,9,BC,2.5,52,female,somepost,morethan20,no,no,9,5,65plus,urban,3157.238243,<100km,1,1,none,uni,69.5,CPC
19,99910611,English10611,7,TourismandRecreation,7,1,1,10,BC,2.5,52,female,somepost,morethan20,no,no,9,5,65plus,urban,3157.238243,<100km,1,1,none,uni,69.5,CPC
20,99910611,English10611,7,CarbonStorage,4,-1,2,10,BC,2.5,52,female,somepost,morethan20,no,no,9,5,65plus,urban,3157.238243,<100km,1,1,none,uni,69.5,CPC
